Synthase,Length (aa),Architecture,Classification
PYI01676.1,2636,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
PYI01585.1,2364,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI01486.1,2484,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI01233.1,2437,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI01215.1,2452,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI00812.1,428,KS,Fatty acid synthase
PYI00702.1,3967,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYI00238.1,261,KS,PKS
PYI00202.1,2497,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYI00201.1,2905,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYI00038.1,4040,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH99806.1,1715,KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
PYH99747.1,2359,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH99567.1,1912,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH99550.1,398,KS,Thiolase
PYH98982.1,2403,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH98773.1,2466,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH98532.1,418,KS,Thiolase
PYH98411.1,2590,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH97832.1,2368,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH97606.1,2612,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH97590.1,458,KS,Thiolase
PYH97266.1,2398,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
PYH97071.1,3845,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH96569.1,2398,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH96131.1,2057,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH96001.1,421,KS,Thiolase
PYH95638.1,557,KS-AT,PKS|Type I
PYH95483.1,2420,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH94535.1,2283,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH93849.1,1580,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH93503.1,413,KS,Thiolase
PYH93396.1,786,KS-ACP,PKS
PYH93170.1,1610,KS-AT-MT,PKS|Type I
PYH92918.1,2007,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
PYH92913.1,2350,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH92796.1,187,KS,PKS
PYH92144.1,2569,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH92048.1,1802,SAT-KS-AT-PT-ACP-ACP,PKS|Type I|Non-reducing
PYH90619.1,2558,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH89870.1,1574,KS-AT-DH-MT,PKS|Type I|Partially-reducing
PYH89301.1,426,KS,Thiolase
PYH89202.1,2135,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH88738.1,2508,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH88584.1,419,KS,Thiolase
PYH88413.1,1974,KS-AT-DH-MT,PKS|Type I|Partially-reducing
PYH88158.1,2419,KS-AT-DH-MT-ER-KR,PKS|Type I|Highly-reducing
PYH88109.1,2246,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH87978.1,428,KS,Fatty acid synthase
PYH87874.1,2492,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH87840.1,2581,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH87097.1,2548,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH87006.1,2188,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH87005.1,2321,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
PYH86829.1,2514,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH86363.1,1789,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH86334.1,2455,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH86223.1,2408,KS-AT-DH-ER-KR-ACP-TE,PKS|Type I|Highly-reducing
PYH85734.1,1782,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH85491.1,2334,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH84891.1,428,KS,Fatty acid synthase
PYH84622.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH83754.1,428,KS,Thiolase
PYH83481.1,458,KS,Thiolase
PYH83264.1,1713,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYH83208.1,2373,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH82696.1,2900,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
PYH82414.1,459,KS-AT,PKS|Type I
PYH81787.1,2555,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH81778.1,686,KS-AT,PKS|Type I
PYH81470.1,419,KS,Thiolase
PYH81305.1,2619,SAT-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
PYH81014.1,2422,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH80716.1,2492,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH80087.1,2447,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH79599.1,401,KS,PKS|Type III
PYH79566.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH78884.1,413,KS,Thiolase
PYH78647.1,2376,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH78517.1,2143,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH78133.1,421,KS,Thiolase
PYH78069.1,2605,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH78037.1,3967,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH77844.1,399,KS,Thiolase
PYH76768.1,2161,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH76753.1,4011,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH76605.1,3889,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH76019.1,419,KS,Thiolase
PYH75269.1,3911,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH75203.1,3937,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH75197.1,1793,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH74609.1,421,KS,Thiolase
PYH74110.1,2302,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH73970.1,458,KS,Thiolase
PYH73636.1,2440,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH73511.1,419,KS,Thiolase
PYH73194.1,2433,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH72966.1,1851,A-T-KS-AT-ACP,Hybrid PKS-NRPS
PYH72788.1,3496,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
PYH72655.1,2505,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH72420.1,399,KS,Thiolase
PYH72235.1,1746,KS-AT-ER-KR-ACP,PKS|Type I|Partially-reducing
PYH71965.1,413,KS,Thiolase
PYH71917.1,2594,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH71906.1,2337,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH71861.1,3894,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH71698.1,2448,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH71009.1,2161,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH70447.1,2994,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYH70351.1,2473,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH69782.1,2644,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH69491.1,2247,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH69410.1,2459,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH69302.1,2150,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH69274.1,2418,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH68800.1,428,KS,Fatty acid synthase
PYH68705.1,426,KS,Thiolase
PYH68553.1,2595,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH68528.1,2122,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH68452.1,2487,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH68297.1,2299,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH67904.1,2353,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH67898.1,2841,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYH67844.1,2573,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH67688.1,2587,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH67617.1,2334,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH67417.1,2450,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH66992.1,2559,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH66658.1,2370,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH66279.1,2401,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH65910.1,2480,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH65280.1,2477,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH64397.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH64196.1,1725,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH63587.1,418,KS,Thiolase
PYH62798.1,421,KS,Thiolase
PYH62465.1,1258,KS-AT-DH,PKS|Type I|Partially-reducing
PYH62380.1,3759,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH62142.1,2466,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH61928.1,2478,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH61898.1,3912,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH61830.1,1793,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH61746.1,2462,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH60536.1,428,KS,Fatty acid synthase
PYH60186.1,413,KS,Thiolase
PYH60069.1,426,KS,Thiolase
PYH60026.1,2289,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH59991.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH59330.1,419,KS,Thiolase
PYH59020.1,3941,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH58870.1,418,KS,Thiolase
PYH58511.1,2142,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH58487.1,2595,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH58044.1,2285,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH58042.1,2527,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH57806.1,2645,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH57756.1,1728,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH57080.1,2338,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH56972.1,2483,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH56940.1,2418,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH56938.1,2557,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH55771.1,3860,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH55706.1,2879,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYH55701.1,2352,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH55458.1,2635,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH55372.1,2452,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH55113.1,2147,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
PYH54250.1,2622,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH53829.1,3551,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
PYH53112.1,458,KS,Thiolase
PYH53024.1,2533,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH53017.1,2599,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH52969.1,2449,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH52690.1,3902,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH51727.1,2554,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH51522.1,1787,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
PYH51329.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH51286.1,2153,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH51224.1,3828,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH50997.1,2237,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH50876.1,399,KS,Thiolase
PYH50563.1,2489,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH50506.1,2630,A-T-KS-AT-ACP,Hybrid PKS-NRPS
PYH50285.1,2519,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH49497.1,3885,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH48457.1,419,KS,Thiolase
PYH47761.1,428,KS,Fatty acid synthase
PYH46721.1,2387,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH46692.1,399,KS,Thiolase
PYH45916.1,2608,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH45265.1,419,KS,Thiolase
PYH45130.1,421,KS,Thiolase
PYH44900.1,2496,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH44099.1,2220,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH44059.1,2372,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH43665.1,2817,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH43416.1,413,KS,Thiolase
PYH43222.1,2395,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH42858.1,419,KS,Thiolase
PYH42709.1,2143,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH42430.1,3935,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH42406.1,2385,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
PYH41838.1,458,KS,Thiolase
PYH41263.1,2631,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH41102.1,343,KS,PKS
PYH40874.1,2493,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH40238.1,2506,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH39664.1,2403,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH39460.1,2350,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH39458.1,2289,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH39146.1,2384,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH38566.1,2650,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH38163.1,2638,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH37826.1,2957,ER-KS-AT-DH-MT-KR-ACP,PKS|Type I|Highly-reducing
PYH37664.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH37625.1,2386,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH37617.1,2580,KS-AT-DH-MT-ER-KR,PKS|Type I|Highly-reducing
PYH37577.1,1797,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PYH37515.1,3911,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH37348.1,2249,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH36991.1,2638,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH36964.1,2150,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH36541.1,458,KS,Thiolase
PYH36203.1,421,KS,Thiolase
PYH35667.1,2992,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYH35606.1,2477,KS-AT-DH-MT-ER-KR,PKS|Type I|Highly-reducing
PYH35548.1,711,KS-AT-DH,PKS|Type I|Partially-reducing
PYH34878.1,2494,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH34820.1,3493,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
PYH34753.1,195,KS,PKS
PYH34594.1,419,KS,Thiolase
PYH33031.1,2475,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH32869.1,438,KS-AT,PKS|Type I
PYH32865.1,2457,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH32029.1,2447,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH31947.1,2085,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH31853.1,2649,A-T-KS-AT-ACP-MT,Hybrid PKS-NRPS
PYH31637.1,2853,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
PYH31631.1,2353,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH31307.1,2427,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH30922.1,2423,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH30448.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PYH30422.1,426,KS,Thiolase
PYH30344.1,418,KS,Thiolase
PYH30179.1,2487,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH30071.1,2251,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH29522.1,428,KS,Fatty acid synthase
PYH29428.1,413,KS,Thiolase
PYH29378.1,2587,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PYH29244.1,2567,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH29218.1,2137,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PYH29134.1,2453,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH28781.1,2445,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH28609.1,1485,KS-AT-MT-ER-KR-ACP,PKS|Type I|Partially-reducing
PYH28605.1,1102,KS-AT,PKS|Type I
PYH28554.1,2438,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PYH28484.1,2493,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
PYH28434.1,2241,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PYH28293.1,399,KS,Thiolase
PWY96147.1,2184,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY96074.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY95948.1,431,KS,Thiolase
PWY95188.1,3711,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY95017.1,2274,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY94888.1,418,KS,Thiolase
PWY94774.1,4095,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY94536.1,2319,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
PWY94533.1,2611,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY93856.1,1700,KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
PWY93788.1,458,KS,Thiolase
PWY93430.1,2462,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PWY93214.1,2205,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PWY93041.1,2499,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY92919.1,433,KS,Fatty acid synthase
PWY91664.1,2454,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY91350.1,2614,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY90616.1,2593,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY90361.1,2554,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY90345.1,2449,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY89876.1,2357,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY89256.1,444,KS-AT,PKS|Type I
PWY88369.1,2187,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
PWY87637.1,419,KS,Thiolase
PWY87347.1,2327,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY87313.1,419,KS,Thiolase
PWY86696.1,2390,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY86656.1,2584,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY86434.1,2130,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PWY86276.1,458,KS,Thiolase
PWY85948.1,593,KS-AT,PKS|Type I
PWY85874.1,2482,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY85494.1,2415,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY84814.1,433,KS,Thiolase
PWY84714.1,421,KS,Thiolase
PWY84422.1,2459,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY84328.1,2250,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY84065.1,1268,KS-AT-ER-KR,PKS|Type I|Partially-reducing
PWY83904.1,3773,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY83831.1,2594,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82670.1,2576,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82667.1,2417,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82657.1,1797,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
PWY82590.1,3910,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY82552.1,2688,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82422.1,2357,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82375.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82224.1,2470,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY82065.1,2215,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY81670.1,2513,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY81621.1,2397,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY81896.1,4062,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY81264.1,418,KS,Thiolase
PWY80872.1,2365,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY80063.1,2644,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY79811.1,2406,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY79697.1,2331,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PWY79634.1,2078,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PWY79460.1,2463,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PWY79190.1,2156,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PWY79152.1,2513,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY79150.1,2584,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PWY78989.1,178,KS,PKS
PWY78913.1,2639,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY78031.1,3188,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PWY77879.1,2505,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
PWY77825.1,3428,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
PWY77581.1,1852,A-T-KS-AT-ACP,Hybrid PKS-NRPS
PWY77444.1,418,KS,Thiolase
PWY77309.1,2579,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY77189.1,413,KS,Thiolase
PWY77014.1,2484,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
PWY76926.1,2488,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY76505.1,2303,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
PWY76491.1,2616,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
PWY76064.1,4014,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
PWY75783.1,2636,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
